POP ID,NSG,Institución
TA-A-4037-TE-R-S01-01,TA_A_4037_IE_1,43506 JUVENAL UBALDO ORDO@EZ SALAZAR
TA-A-4039-IN-R-S01-01,TA_A_4039_CS_1,LOS OLIVOS
TA-A-4039-IN-R-S01-01,TA_A_4039_IE_1,304
TA-A-4039-IN-R-S01-01,TA_A_4039_IE_2,42017 NEISER G. LLACSA ARCE
TA-A-4039-IN-R-S01-02,-,-
TA-A-4039-IN-R-S01-03,-,-
TA-A-4042-TE-R-S01-01,TA_A_4042_IE_1,42114 GLORIOSO HUSARES DE JUNIN
TA-A-4043-IN-R-S01-01,TA_A_4043_IE_1,42033 ENRIQUE LOPEZ ALBUJAR
TA-A-4043-IN-R-S01-02,-,-
TA-A-4044-TE-R-S01-01,TA_A_4044_IE_1,42031 DANIEL ALCIDES CARRION
TA-A-4046-TE-R-S01-01,TA_A_4046_IE_1,430 VIRGEN DEL CARMEN
TA-A-4046-TE-R-S01-02,TA_A_4005_CS_1,CAMILACA
TA-A-4046-TE-R-S01-02,TA_A_4005_IE_1,326
TA-A-4046-TE-R-S01-02,TA_A_4005_IE_2,42076 JOSE CARLOS MARIATEGUI
TA-A-4047-TE-R-S01-01,TA_A_4047_DP_1,CPNP ESPECIAL CAMIARA
TA-A-4047-TE-R-S01-01,TA_A_4047_DP_2,CPNP PROT. DE CARRETERAS CAMIARA
TA-A-4047-TE-R-S01-01,TA_A_4047_IE_1,42233
TA-A-4047-TE-R-S01-02,-,-
TA-A-4047-TE-R-S01-03,-,-
TA-A-4048-IN-R-S01-01,TA_A_4048_IE_1,403 PUENTE CAMIARA
TA-A-4049-IN-R-S01-01,-,-
TA-A-4049-IN-R-S01-02,TA_A_4049_IE_1,432 SITANA
TA-A-4049-IN-R-S01-03,-,-
TA-A-4050-IN-R-S01-01,TA_A_4050_CS_1,BOROGUE@A
TA-A-4050-IN-R-S01-01,TA_A_4050_IE_1,347
TA-A-4050-IN-R-S01-01,TA_A_4050_IE_2,TUPAC AMARU II
TA-A-4050-IN-R-S01-02,TA_A_4045_CS_1,CAMBAYA
TA-A-4050-IN-R-S01-02,TA_A_4045_IE_1,349
TA-A-4050-IN-R-S01-02,TA_A_4045_IE_2,42030 LUIS BANCHERO ROSSI
TA-A-4052-IN-R-S01-01,TA_A_4052_IE_1,321 CORONEL RAMON ZAVALA JUAREZ
TA-A-4052-IN-R-S01-01,TA_A_4052_IE_2,MARISCAL CACERES 3RA BRIGADA BLINDADA DEL FUERTE ARICA
TA-A-4053-TE-R-S01-01,TA_A_4053_DP_1,CPNP PROT. DE CARRETERAS BOCA DEL RIO
TA-A-4053-TE-R-S01-02,TA_A_4053_CS_1,PAMPA BAJA
TA-A-4053-TE-R-S01-02,TA_A_4053_IE_1,383 SAN ISIDRO LABRADOR
TA-A-4053-TE-R-S01-02,TA_A_4053_IE_2,42055 OLGA GROHMANN DE BASADRE
TA-A-4054-DS-R-S01-01,TA_A_4054_IE_1,42054 CTA JOSE CARLOS MARIATEGUI
TA-A-4054-DS-R-S01-01,TA_A_4054_IE_2,428 LAS VILCAS - ITE
TA-A-4054-DS-R-S01-02,-,-
TA-A-4056-TE-R-S01-01,TA_A_4056_CS_1,TALABAYA
TA-A-4056-TE-R-S01-01,TA_A_4056_IE_1,42125 JOSE MANUEL UBALDE
TA-A-4057-TE-R-S01-01,TA_A_4057_CS_1,YABROCO
TA-A-4057-TE-R-S01-01,TA_A_4057_IE_1,332 YABROCO
TA-A-4062-TE-R-S01-01,TA_A_4062_CS_1,SANTA ROSA
TA-A-4062-TE-R-S01-01,TA_A_4062_IE_1,42263 VIRGINIA LAZARO VILLAROEL
TA-A-4063-TE-R-S01-01,TA_A_4063_IE_1,329
TA-A-4063-TE-R-S01-02,-,-
TA-A-4064-IN-R-S01-01,TA_A_4028_IE_1,380
TA-A-4064-IN-R-S01-02,TA_A_4064_IE_1,443 SANTA TERESITA
TA-A-4065-TE-R-S01-01,TA_A_4065_IE_1,43507
TA-A-4067-TE-R-S01-01,TA_A_4067_IE_1,42200 OMAR ZILBERT SALAS
TA-A-4067-TE-R-S01-02,-,-
TA-A-4067-TE-R-S01-03,-,-
TA-A-4068-TE-R-S01-01,TA_A_4068_IE_1,407
TA-A-4068-TE-R-S01-02,-,-
TA-A-4068-TE-R-S01-03,-,-
TA-A-4069-TE-R-S01-01,TA_A_4069_IE_1,RAMON COPAJA
